node,pseudolabel?,label,label_conf
CG15098,Y,GO:0031323@4,0.06
CG9572,Y,GO:0031323@4,0.05319148936170213
CG12470,Y,GO:0048522@4,0.05
CG1873,Y,GO:0031323@4,0.0423728813559322
CG2021,Y,GO:0031323@4,0.07692307692307693
CG16747,Y,GO:0031323@4,0.05263157894736842
CG13389,Y,GO:0048523@4,0.047619047619047616
CG1345,Y,GO:0042742@4,0.041666666666666664
CG5252,Y,GO:0031323@4,0.05
CG15697,Y,GO:0040014@4,0.03225806451612903
CG3922,Y,GO:0048523@4,0.047619047619047616
CG11140,Y,GO:0031323@4,0.09411764705882353
CR42862,Y,GO:0031323@4,0.053763440860215055
CG4617,Y,GO:0016192@4,0.031746031746031744
CG8851,Y,GO:0009889@4,0.04132231404958678
CG14487,Y,GO:0031323@4,0.03260869565217391
CG4046,Y,GO:0048523@4,0.047619047619047616
CG10195,Y,GO:0031323@4,0.06896551724137931
CG17107,Y,GO:0007423@4,0.05660377358490566
CG14715,Y,GO:0031323@4,0.0625
CG31029,Y,GO:0031323@4,0.06521739130434782
CG7001,Y,GO:0051726@4,0.045454545454545456
CG15848,Y,GO:0048878@4,0.08
CG10341,Y,GO:0031323@4,0.05333333333333334
CG9184,Y,GO:0002831@4,0.020833333333333332
CG3605,Y,GO:0009966@4,0.03314917127071823
CG11482,Y,GO:0048523@4,0.04950495049504951
CG1962,Y,GO:0031323@4,0.06944444444444445
CG14410,Y,GO:0060255@4,0.13793103448275862
CG15209,Y,GO:0060255@4,0.1111111111111111
CG17143,Y,GO:0036293@4,0.10416666666666667
CG32809,Y,GO:0048523@4,0.04081632653061224
CG14563,Y,GO:0060255@4,0.07692307692307693
CG7697,Y,GO:0090304@4,0.27586206896551724
CG17420,Y,GO:0048523@4,0.031746031746031744
CG4759,Y,GO:0048523@4,0.047619047619047616
CG14089,Y,GO:0051726@4,0.0625
CG3008,Y,GO:0031323@4,0.04411764705882353
CG33303,Y,GO:0009966@4,0.0425531914893617
CG11700,Y,GO:0048522@4,0.057692307692307696
CG10944,Y,GO:0048523@4,0.047619047619047616
CG4422,Y,GO:0031323@4,0.06
CG33113,Y,GO:0016192@4,0.034482758620689655
CG14104,Y,GO:0031323@4,0.03482587064676617
CG4858,Y,GO:0031323@4,0.056074766355140186
CG15445,Y,GO:0031323@4,0.0661764705882353
CG2862,Y,GO:0031323@4,0.06
CG32581,Y,GO:0051726@4,0.04918032786885246
CG8910,Y,GO:0051726@4,0.07692307692307693
CG12227,Y,GO:0080090@4,0.05128205128205128
CG9316,Y,GO:0060255@4,0.047619047619047616
CG18789,Y,GO:0016569@4,0.058823529411764705
CG10887,Y,GO:0007015@4,0.06382978723404255
CG1138,Y,GO:0007010@4,0.04950495049504951
CG2774,Y,GO:0016192@4,0.05194805194805195
CG1234,Y,GO:0040014@4,0.06557377049180328
CG11182,Y,GO:0051726@4,0.039473684210526314
CG9723,Y,GO:0016482@4,0.053763440860215055
CG7622,Y,GO:0048523@4,0.046153846153846156
CG15019,Y,GO:0048523@4,0.04242424242424243
CG10423,Y,GO:0048523@4,0.047619047619047616
CG12740,Y,GO:0048523@4,0.046153846153846156
CG16935,Y,GO:0031323@4,0.050505050505050504
CG3402,Y,GO:0010646@4,0.047244094488188976
CG14589,Y,GO:0048523@4,0.03535353535353535
CG9159,Y,GO:0031323@4,0.07407407407407407
CG33672,Y,GO:0031323@4,0.05172413793103448
CG6523,Y,GO:0031323@4,0.04201680672268908
CG6905,Y,GO:0090304@4,0.11363636363636363
CG17601,Y,GO:0048522@4,0.04878048780487805
CG15576,Y,GO:0009966@4,0.03614457831325301
CG1527,Y,GO:0048523@4,0.046153846153846156
CG2168,Y,GO:0040014@4,0.031746031746031744
CG9579,Y,GO:0036211@4,0.038461538461538464
CG10364,Y,GO:0048523@4,0.03937007874015748
CG1678,Y,GO:0009966@4,0.044444444444444446
CG2064,Y,GO:0031323@4,0.058823529411764705
CG11409,N,GO:0007600@4,0.0
CG41623,Y,GO:0048523@4,0.07407407407407407
CG9593,Y,GO:0009966@4,0.034482758620689655
CG5770,Y,GO:0031323@4,0.07692307692307693
CG7021,Y,GO:0031323@4,0.07272727272727272
CG44009,Y,GO:0051726@4,0.05405405405405406
CG8073,Y,GO:0010941@4,0.06716417910447761
CG7939,Y,GO:0048523@4,0.046153846153846156
CG9922,Y,GO:0009889@4,0.05454545454545454
CG9035,Y,GO:0031323@4,0.07272727272727272
CR42969,Y,GO:0048523@4,0.1044776119402985
CG5359,Y,GO:0009892@4,0.057692307692307696
CG3412,Y,GO:0010646@4,0.039473684210526314
CG5784,Y,GO:0016569@4,0.06722689075630252
CG31679,Y,GO:0009893@4,0.049019607843137254
CG6684,Y,GO:0040014@4,0.03225806451612903
CG6846,Y,GO:0048523@4,0.046153846153846156
CG14183,Y,GO:0009889@4,0.05434782608695652
CG18081,Y,GO:0016569@4,0.058823529411764705
CG12775,Y,GO:0048523@4,0.046153846153846156
CG2998,Y,GO:0040014@4,0.03225806451612903
CG2010,Y,GO:0048522@4,0.061224489795918366
CG8654,Y,GO:0042742@4,0.05084745762711865
CG34354,Y,GO:0060255@4,0.057692307692307696
CG1655,Y,GO:0031323@4,0.04838709677419355
CG10086,Y,GO:0031323@4,0.06944444444444445
CG9839,Y,GO:0009889@4,0.05333333333333334
CG7088,Y,GO:0048523@4,0.046875
CG10032,Y,GO:0002009@4,0.05
CG7386,Y,GO:0031323@4,0.08571428571428572
CG1821,Y,GO:0048523@4,0.047619047619047616
CG8415,Y,GO:0048523@4,0.047619047619047616
CG3433,Y,GO:0009893@4,0.03260869565217391
CG5502,Y,GO:0048523@4,0.047619047619047616
CG3668,Y,GO:0098657@4,0.05084745762711865
CG1639,Y,GO:0031323@4,0.0847457627118644
CG1965,Y,GO:0031323@4,0.09523809523809523
CG12659,Y,GO:0031323@4,0.08536585365853659
CG7625,Y,GO:0007423@4,0.043478260869565216
CG8029,Y,GO:0051128@4,0.041237113402061855
CG4863,Y,GO:0048523@4,0.046153846153846156
CG7490,Y,GO:0048523@4,0.047619047619047616
CG13373,Y,GO:0031323@4,0.04878048780487805
CG13900,Y,GO:0060255@4,0.046875
CG10753,Y,GO:0003723@4,0.05555555555555555
CG4924,Y,GO:0090304@4,0.09302325581395349
CG7424,Y,GO:0048523@4,0.046153846153846156
CG10365,Y,GO:0046331@4,0.06896551724137931
CG32264,Y,GO:0007600@4,0.031746031746031744
CG13159,Y,GO:0060429@4,0.05555555555555555
CG8316,Y,GO:0048522@4,0.046511627906976744
CG17271,Y,GO:0031323@4,0.046153846153846156
CG14534,Y,GO:0007447@4,0.014925373134328358
CG31731,Y,GO:0031323@4,0.030120481927710843
CG6090,Y,GO:0040014@4,0.043478260869565216
CG6510,Y,GO:0048523@4,0.046153846153846156
CG7127,Y,GO:0048638@4,0.02112676056338028
